City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Dunedin,92,NZ,1551933471,80,-45.87,170.5,59.0,20.0
Mount Gambier,8,AU,1551931200,30,-37.83,140.78,69.8,9.17
Castro,75,CL,1551931200,93,-42.48,-73.76,51.8,5.82
Nanortalik,80,GL,1551933886,90,60.14,-45.24,31.19,13.44
Viedma,92,AR,1551933946,34,-40.81,-62.99,77.41,23.29
Aldan,68,RU,1551933948,61,58.61,125.39,25.79,5.61
Severo-Kurilsk,24,RU,1551933869,100,50.68,156.12,25.79,18.14
Kaduqli,0,SD,1551933950,27,11.01,29.72,71.38,14.23
Longyearbyen,20,NO,1551930600,59,78.22,15.63,3.2,6.93
Axim,24,GH,1551933952,100,4.87,-2.24,80.51,10.98
Gamba,0,CN,1551933953,90,28.28,88.52,22.19,6.62
Punta Arenas,0,CL,1551933792,100,-53.16,-70.91,41.0,14.99
Lompoc,92,US,1551933655,81,34.64,-120.46,55.4,5.95
Victoria,75,BN,1551933000,74,5.28,115.24,87.8,3.36
Baoro,64,CF,1551933958,88,5.69,15.95,69.13,2.93
Hermanus,80,ZA,1551933110,92,-34.42,19.24,64.99,1.01
Lavrentiya,32,RU,1551933876,100,65.58,-170.99,15.13,12.44
Taree,90,AU,1551933905,68,-31.91,152.46,70.0,5.82
Bredasdorp,48,ZA,1551933092,72,-34.53,20.04,66.2,5.82
Kysyl-Syr,80,RU,1551933964,68,63.9,122.77,21.52,9.64
Methoni,0,GR,1551933939,93,36.82,21.7,51.01,9.75
Busselton,100,AU,1551933771,61,-33.64,115.35,72.0,2.93
Vaini,0,IN,1551931200,41,15.34,74.49,75.2,5.82
Norman Wells,20,CA,1551931200,70,65.28,-126.83,-2.21,3.36
Anzio,0,IT,1551933734,41,41.45,12.63,60.8,14.99
Khatanga,68,RU,1551933971,77,71.98,102.47,2.08,11.21
Ushuaia,75,AR,1551931200,80,-54.81,-68.31,39.2,20.8
Pacific Grove,90,US,1551933660,81,36.62,-121.92,55.0,8.05
Wanlaweyn,32,SO,1551933975,70,2.62,44.89,81.82,9.42
Thompson,20,CA,1551931200,65,55.74,-97.86,5.0,11.41
Mudgee,90,AU,1551933126,46,-32.6,149.59,73.4,12.75
Tiksi,92,RU,1551933978,79,71.64,128.87,13.33,3.6
Keita,20,NG,1551931200,94,7.1,3.65,75.2,4.7
Mataura,100,NZ,1551933605,93,-46.19,168.86,53.01,5.01
Mbaiki,92,CF,1551933982,95,3.87,17.99,72.37,2.82
Samarai,20,PG,1551933923,100,-10.62,150.67,83.08,4.94
Zhangjiakou,0,CN,1551933984,74,40.77,114.88,39.7,4.16
Mitu,68,IR,1551933985,92,36.2,46.09,31.91,2.82
Tuktoyaktuk,75,CA,1551931200,77,69.44,-133.03,1.4,8.05
